序号,板块,公司全称,公司简称,公司代码,所属行业,省份,城市,专利记分牌得分 ↑
4242,中小企业板,葵花药业集团股份有限公司,葵花药业,002737.SZ,制造业,黑龙江省,哈尔滨市,36.5  
4243,中小企业板,葵花药业集团股份有限公司,葵花药业,002737.SZ,制造业,黑龙江省,哈尔滨市,36.5  
4244,中小企业板,葵花药业集团股份有限公司,葵花药业,002737.SZ,制造业,黑龙江省,哈尔滨市,36.5  
4245,中小企业板,葵花药业集团股份有限公司,葵花药业,002737.SZ,制造业,黑龙江省,哈尔滨市,36.5  
4246,中小企业板,葵花药业集团股份有限公司,葵花药业,002737.SZ,制造业,黑龙江省,哈尔滨市,36.5  
4247,中小企业板,葵花药业集团股份有限公司,葵花药业,002737.SZ,制造业,黑龙江省,哈尔滨市,36.5  
4248,中小企业板,葵花药业集团股份有限公司,葵花药业,002737.SZ,制造业,黑龙江省,哈尔滨市,36.5  
4249,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4250,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4251,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4252,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4253,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4254,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4255,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4256,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4257,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4258,创业板,思创医惠科技股份有限公司,思创医惠,300078.SZ,制造业,浙江省,杭州市,36.5  
4259,主板,曲美家居集团股份有限公司,曲美家居,603818.SH,制造业,北京,北京市,36.5  
4260,主板,曲美家居集团股份有限公司,曲美家居,603818.SH,制造业,北京,北京市,36.5  
4261,主板,曲美家居集团股份有限公司,曲美家居,603818.SH,制造业,北京,北京市,36.5  
4262,主板,曲美家居集团股份有限公司,曲美家居,603818.SH,制造业,北京,北京市,36.5  
4263,主板,曲美家居集团股份有限公司,曲美家居,603818.SH,制造业,北京,北京市,36.5  
4264,主板,曲美家居集团股份有限公司,曲美家居,603818.SH,制造业,北京,北京市,36.5  
4265,主板,曲美家居集团股份有限公司,曲美家居,603818.SH,制造业,北京,北京市,36.5  
4266,主板,曲美家居集团股份有限公司,曲美家居,603818.SH,制造业,北京,北京市,36.5  
4267,主板,曲美家居集团股份有限公司,曲美家居,603818.SH,制造业,北京,北京市,36.5  
4268,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4269,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4270,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4271,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4272,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4273,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4274,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4275,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4276,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4277,主板,华工科技产业股份有限公司,华工科技,000988.SZ,制造业,湖北省,武汉市,36.5  
4278,主板,青岛天华院化学工程股份有限公司,天华院,600579.SH,制造业,山东省,青岛市,36.5  
4279,主板,青岛天华院化学工程股份有限公司,天华院,600579.SH,制造业,山东省,青岛市,36.5  
4280,主板,青岛天华院化学工程股份有限公司,天华院,600579.SH,制造业,山东省,青岛市,36.5  
4281,主板,青岛天华院化学工程股份有限公司,天华院,600579.SH,制造业,山东省,青岛市,36.5  
4282,主板,青岛天华院化学工程股份有限公司,天华院,600579.SH,制造业,山东省,青岛市,36.5  
4283,主板,青岛天华院化学工程股份有限公司,天华院,600579.SH,制造业,山东省,青岛市,36.5  
4284,主板,青岛天华院化学工程股份有限公司,天华院,600579.SH,制造业,山东省,青岛市,36.5  
4285,主板,青岛天华院化学工程股份有限公司,天华院,600579.SH,制造业,山东省,青岛市,36.5  
4286,主板,青岛天华院化学工程股份有限公司,天华院,600579.SH,制造业,山东省,青岛市,36.5  
4287,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
4288,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
4289,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
4290,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
4291,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
4292,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
4293,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
4294,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
4295,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
