板块,公司全称,公司简称,公司代码,所属行业,省份,城市,专利记分牌得分 ↑
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
中小企业板,九阳股份有限公司,九阳股份,002242.SZ,制造业,山东省,济南市,419
中小企业板,九阳股份有限公司,九阳股份,002242.SZ,制造业,山东省,济南市,419
中小企业板,九阳股份有限公司,九阳股份,002242.SZ,制造业,山东省,济南市,419
中小企业板,九阳股份有限公司,九阳股份,002242.SZ,制造业,山东省,济南市,419
中小企业板,九阳股份有限公司,九阳股份,002242.SZ,制造业,山东省,济南市,419
中小企业板,九阳股份有限公司,九阳股份,002242.SZ,制造业,山东省,济南市,419
中小企业板,九阳股份有限公司,九阳股份,002242.SZ,制造业,山东省,济南市,419
中小企业板,九阳股份有限公司,九阳股份,002242.SZ,制造业,山东省,济南市,419
中小企业板,九阳股份有限公司,九阳股份,002242.SZ,制造业,山东省,济南市,419
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,鞍钢股份有限公司,鞍钢股份,000898.SZ,制造业,辽宁省,鞍山市,418.8
主板,中国国际海运集装箱(集团)股份有限公司,中集集团,000039.SZ,制造业,广东省,深圳市,396
主板,中国国际海运集装箱(集团)股份有限公司,中集集团,000039.SZ,制造业,广东省,深圳市,396
主板,中国国际海运集装箱(集团)股份有限公司,中集集团,000039.SZ,制造业,广东省,深圳市,396
主板,中国国际海运集装箱(集团)股份有限公司,中集集团,000039.SZ,制造业,广东省,深圳市,396
主板,中国国际海运集装箱(集团)股份有限公司,中集集团,000039.SZ,制造业,广东省,深圳市,396
主板,中国国际海运集装箱(集团)股份有限公司,中集集团,000039.SZ,制造业,广东省,深圳市,396
主板,中国国际海运集装箱(集团)股份有限公司,中集集团,000039.SZ,制造业,广东省,深圳市,396
主板,中国国际海运集装箱(集团)股份有限公司,中集集团,000039.SZ,制造业,广东省,深圳市,396
主板,中国国际海运集装箱(集团)股份有限公司,中集集团,000039.SZ,制造业,广东省,深圳市,396
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,力帆实业(集团)股份有限公司,力帆股份,601777.SH,制造业,重庆,重庆市,377.8
主板,中国神华能源股份有限公司,中国神华,601088.SH,采矿业,北京,北京市,372.1
主板,中国神华能源股份有限公司,中国神华,601088.SH,采矿业,北京,北京市,372.1
主板,中国神华能源股份有限公司,中国神华,601088.SH,采矿业,北京,北京市,372.1
主板,中国神华能源股份有限公司,中国神华,601088.SH,采矿业,北京,北京市,372.1
主板,中国神华能源股份有限公司,中国神华,601088.SH,采矿业,北京,北京市,372.1
主板,中国神华能源股份有限公司,中国神华,601088.SH,采矿业,北京,北京市,372.1
主板,中国神华能源股份有限公司,中国神华,601088.SH,采矿业,北京,北京市,372.1
主板,中国神华能源股份有限公司,中国神华,601088.SH,采矿业,北京,北京市,372.1
主板,中国神华能源股份有限公司,中国神华,601088.SH,采矿业,北京,北京市,372.1
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
主板,上海电气集团股份有限公司,上海电气,601727.SH,制造业,上海,上海市,363.8
